编码字典｜公开提示词生成会话实验,,,
本表定义P0、P1、轮次、提示词修改、平台自动扩写和完整闭环等编码口径；如需增加类别，先在此表补定义，再同步下拉选项。,,,
,,,
编码类型,代码/选项,定义,使用边界
任务种子,P0,公开提示词作为研究者第一次输入的初始任务,不等于原作者的真实初始提示词
提示词版本,P1/P2/Final,研究者根据上一轮结果形成的新版本完整提示词,必须保留完整文本和改动原因
生成轮次,1轮,一次输入或修订后产生新图/新版本结果,一轮多图仍按一轮，另计结果图数量
提示词修改,主动修改,改变主体、构图、风格、色彩、动作、比例或约束,只重新生成但没有改提示词，不计修改
平台自动扩写,有,平台自动补全、润色或改写提示词,与研究者主动修改分开统计
完整闭环,是,至少出现输入→生成→判断/选择→修订/再生成→完成,只有一轮输入生成不能标记为是
控制转移,研究者主导,关键决策由研究者提出并确认,须有事件证据
控制转移,平台主导,平台反馈、默认机制或规则显著改变任务,不能仅凭结果好看判断
控制转移,协商形成,研究者意图与平台回应经过多轮调整共同形成,适合用于第三章机制分析
任务状态,纳入,会话证据完整，可进入统计汇总,同一配对任务的两平台记录应尽量同时纳入
任务状态,排除,证据缺失、操作中断或与任务不匹配,保留排除理由，不删除原记录
案例选择,典型案例,能呈现平台差异、协商、控制转移或治理事件的会话,不是单纯选择最好看的图
