作品特征｜比较中间版、最终版与跨样本差异,,,,,,,,,,,,,,,,,
只编码可观察特征；不要把提示词中的风格词直接当成作品风格结论。跨样本比较应回到对应输出ID和证据记录。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
输出ID,会话ID,任务种子ID,版本顺序,输出状态,结果图/文件编号,色彩倾向,构图方式,主体/视觉符号,情绪/风格,模板化特征,跨样本重复特征,风格趋同标记,人工选择依据,编码员1,编码员2,一致性判断,证据与分析备注
OUT-R1-005-01,3,SEED-005,1,中间,05.png,芥末黄、暖绿,近景单人肖像,年轻女性、微笑、自然背景,阳光肖像、柔和虚化,固定色彩与人像模板,待判断,是,与公开结果图对照后的第一轮视觉记录,研究者,793,待复核,R1-SEED-005-A；人物肖像、芥末黄色上衣、暖阳与自然背景虚化均得到保留；第一轮主要变化在发型、裁切和面部表情细节，尚未改变任务的主体与视觉气质。
OUT-R1-007-01,4,SEED-007,1,中间,07.png,金色、白色、米灰,16:9横向宽幅、字母横向铺开,儿童/人物与ZAR NAB字母,奢华棚拍、商业人像,横向文字与人物互动关系,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-007-A；原图是横向宽幅（以16:9构图为复现目标），巨型金色字母横向铺开，人物围绕字母形成一体化的横向版式；第一轮改成了竖向海报式多人物拼贴，画幅方向、主体分布、字母排列和人物与字母的空间关系均发生明显变化。
OUT-R1-008-01,5,SEED-008,1,中间,08.png,蓝色、米白、红金,竖向书签与上下分区,巴黎、埃菲尔铁塔、纸雕地标,手工纸艺、旅行纪念品,大标题、三张小卡、按钮,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-008-A；第一轮保留了书签、纸雕、巴黎地标和旅行纪念品的总体结构，但公开原图实际呈现的是“EXPLORE USA”及美国地标；这与任务标题和P0中的“PARIS”存在来源图与提示词不一致。第一轮的“PARIS”更接近P0语义，但与原图文字并不一致。
OUT-R1-009-01,6,SEED-009,1,中间,09.png,蓝色、棕色、白色、黑色,16:9横向2×2运动POV拼贴,自行车、冲浪、篮球、雪地运动,极限运动摄影、速度感,器材贴脸、颗粒/水滴/雪雾,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-009-A；原图是16:9横向宽幅的2×2运动POV构图，四个面板以横向等分方式展开；第一轮变成了竖向长画布，虽然保留了四格极限运动视觉，但面板比例、整体画幅和运动项目均发生变化，并将原图左下的篮球扣篮替换成了击剑。
OUT-R1-010-01,7,SEED-010,1,中间,10.png,金黄、海蓝、橙色,2×3六格叙事拼贴,微型男子、椰子、螃蟹、鱼、贝壳,超写实微缩摄影、幽默,同一角色跨格重复,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-010-A；六格竖向海滩微缩摄影、同一小人、夸张比例与幽默叙事均得到保留；两张第一轮候选在衬衫颜色、姿态、螃蟹/鱼/贝壳等道具和局部动作上存在变化，说明角色一致性与分格叙事仍不稳定。两张图属于同一轮的两个候选结果，不应计为两轮。
OUT-R1-010-02,7,SEED-010,1,中间,Generated_image.png,金黄、海蓝、橙色,2×3六格叙事拼贴,微型男子、椰子、螃蟹、鱼、贝壳,超写实微缩摄影、幽默,同一角色跨格重复,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-010-B；六格竖向海滩微缩摄影、同一小人、夸张比例与幽默叙事均得到保留；两张第一轮候选在衬衫颜色、姿态、螃蟹/鱼/贝壳等道具和局部动作上存在变化，说明角色一致性与分格叙事仍不稳定。两张图属于同一轮的两个候选结果，不应计为两轮。
OUT-R1-017-01,8,SEED-017,1,中间,17.png,黑色、柔粉、低饱和灰,正面近景肖像,女性面部、黑色服装、桃色腮红、灰棕眼影,韩系清透妆、自然肖像,近景脸部与黑衣基调,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-017-A；第一轮保留了韩系清透妆容、黑长发、近距离女性肖像与柔和低饱和背景，但原图女孩穿黑色衣服，第一轮改成了米白/浅色上衣；服装色彩改变了画面下部的黑色基调，是需要单独记录的主体属性偏差。
OUT-R1-018-01,9,SEED-018,1,中间,18.png,深蓝、黑、白,正面坐姿单人肖像,无眼镜无胡子的英俊男性、蓝色西装、背景字母B,商业棚拍、冷调奢华,中心人物+巨型B字母背景,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-018-A；第一轮保留了蓝色西装、坐姿和深蓝商业棚拍气质，但原图后方是巨大的字母B，男士是无眼镜、无胡子的英俊男性；第一轮的人物面貌、胡须状态和背景字母均未准确复现，主体属性与背景标识同时发生偏差。
OUT-R1-019-01,10,SEED-019,1,中间,19.png,海蓝、黑、白、城市灰,微俯拍广角垂直街景与上方水下空间,交通灯、手机女性、鲨鱼/鱼群、玻璃建筑,超现实城市景观、冷调,广角透视、现实街道与水下世界叠置,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-019-A；第一轮保留了城市街口、手机中的女性与上方水下世界的超现实关系，但原图采用微俯拍与广角镜头，交通灯柱从左侧向上延伸，女性位于下方前景；第一轮的机位更接近平视，广角透视和主体下沉关系减弱，并把单一大型海洋生物改成了多鱼群与路牌街景。
OUT-R1-020-01,11,SEED-020,1,中间,20.png,米黄、黑、少量红蓝,16:9横向2×2档案海报网格,四个影视角色与资料栏,漫画线稿、复古档案,横向宽幅、标题、边栏、角色资料卡,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-020-A；原图是16:9横向宽幅的2×2档案漫画构图，四个横向面板组成一个宽画面；第一轮变成了竖向长画布上的2×2海报堆叠，整体画幅、面板比例和视觉节奏已改变。与此同时，四个主题从原图的Star Wars、Matrix、Indiana Jones、Batman变成了Lord of the Rings、Star Wars、Gladiator、Inception。
OUT-R1-021-01,12,SEED-021,1,中间,21.png,黑白、亮蓝、鲜红,正面近景,女性、墨镜、红唇、黑手套,高对比时尚肖像,局部色彩保留,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-021-A；姿态、黑色墨镜、黑手套和近景时尚肖像被保留，但原图的黑白基调、蓝色眼睛与鲜红嘴唇是关键视觉对比；第一轮整体彩色，眼睛和嘴唇也未形成原图的高对比强调。
OUT-R1-023-01,13,SEED-023,1,中间,23.png,深绿、暖金、棕色,单幅全身纵向肖像,女性、绿色蕾丝长裙、森林溪流,自然暖光、浪漫写实,长裙与森林场景模板,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-023-A；第一轮保留了绿色蕾丝礼服、森林溪流与女性人物，但把原图的单幅全身肖像改成了2×2四格拼贴，并新增花束、不同景别和多种姿态；画面组织方式已改变。
OUT-R1-025-01,14,SEED-025,1,中间,25.png,粉色、黑色、城市蓝,办公桌前正面/三分之二肖像,女性CEO、桌牌、AI标识、城市窗景,商业办公室、柔和粉色调,企业标识与桌面道具,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-025-A；第一轮保留了韩国办公室、女性CEO、粉色套装、城市窗景、AI Innovation Group与CEO标牌等关键元素；主要差异在人物位置、桌面物件、标牌材质和文字清晰度。
OUT-R1-026-01,15,SEED-026,1,中间,26.png,红色、白色、银色,中央高瓶产品静物广告,Coca-Cola高瓶可乐、王冠阴影、广告语,商业广告、戏剧化聚光,高瓶纵向比例、品牌文字与中心构图,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-026-A；红色背景、王冠阴影、顶部品牌标识和底部广告语均保留，但原图主体是细长的高瓶可乐，第一轮生成了较矮、较宽的普通罐体；产品的瓶罐形态、纵向比例和广告主体识别发生明显变化。
OUT-R1-028-01,16,SEED-028,1,中间,28.png,黑色、蓝灰、红橙光轨,双重曝光式玻璃叠影近景,女性、黑色西装、半透明重复人像、城市车流,夜景时尚摄影、双重曝光/反射叠影,人物本体与半透明倒影的双重关系,待判断,有,与公开结果图对照后的第一轮视觉记录,研究者,793,需复核,R1-SEED-028-A；第一轮保留了黑色西装女性、城市夜景、车流光轨和冷暖霓虹，但原图具有明显的双重曝光/叠影效果：人物本体与玻璃中的半透明重复人像相互重叠；第一轮变成普通街道全身照，失去了双重曝光的视觉机制、近景裁切与反射人物关系。
OUT-R2-001-01,1,SEED-001,2,最终,R2-SEED-001-A.png,米白、蓝灰、黑,2×2四格横向速写,四位科学家、公式、器材,科学家肖像速写,每格独立主体,待判断,有,与原图和第一轮对照后作为当前阶段最终结果,研究者,793,待复核,R2-SEED-001-A；第二轮已恢复核心构图；尚未进行第三轮。
OUT-R2-002-01,2,SEED-002,2,最终,R2-SEED-002-A.png,深蓝、冰蓝、橙红,单幅对称卡牌肖像,皇后、红心牌、公式、火焰边框,超写实皇室幻想,公式覆盖与卡牌边框,待判断,有,与原图和第一轮对照后作为当前阶段最终结果,研究者,793,待复核,R2-SEED-002-A；沿用既有v0.1的第二轮结果；尚未进行第三轮。
OUT-R2-007-01,4,SEED-007,2,最终,R2-SEED-007-A.png,金色、白色、米灰,16:9横向宽幅、字母横向铺开,儿童/人物与ZAR NAB字母,奢华棚拍、商业人像,横向文字与人物互动,待判断,有,与原图和第一轮对照后作为当前阶段最终结果,研究者,793,待复核,R2-SEED-007-A；P1修正构图方向；尚未进行第三轮。
OUT-R2-008-01,5,SEED-008,2,最终,R2-SEED-008-A.png,蓝色、米白、红金,竖向书签与上下分区,巴黎、埃菲尔铁塔、纸雕地标,手工纸艺、旅行纪念品,旅行文字与地标组合,待判断,有,与原图和第一轮对照后作为当前阶段最终结果,研究者,793,待复核,R2-SEED-008-A；P1修正目的地语义；尚未进行第三轮。
OUT-R2-009-01,6,SEED-009,2,最终,R2-SEED-009-A.png,蓝色、棕色、白色、黑色,16:9横向2×2运动POV,自行车、冲浪、篮球、雪地运动,极限运动摄影、速度感,四项运动与面板顺序,待判断,有,与原图和第一轮对照后作为当前阶段最终结果,研究者,793,待复核,R2-SEED-009-A；P1修正宽幅和运动项目；尚未进行第三轮。
OUT-R2-010-01,7,SEED-010,2,最终,R2-SEED-010-A.png,金黄、海蓝、橙色,2×3六格叙事拼贴,微型男子、椰子、螃蟹、鱼、贝壳,超写实微缩摄影、幽默,同一角色跨格重复,待判断,有,与原图和第一轮对照后作为当前阶段最终结果,研究者,793,待复核,R2-SEED-010-A；P1修正跨格一致性；尚未进行第三轮。
OUT-R2-017-01,8,SEED-017,2,最终,R2-SEED-017-A.png,黑色、柔粉、低饱和灰,正面近景肖像,女性面部、黑色服装、桃色腮红,韩系清透妆、自然肖像,黑衣与近景脸部基调,待判断,有,与原图和第一轮对照后作为当前阶段最终结果,研究者,793,待复核,R2-SEED-017-A；P1修正服装颜色；尚未进行第三轮。
OUT-R2-018-01,9,SEED-018,2,最终,R2-SEED-018-A.png,深蓝、黑、白,正面坐姿单人肖像,无眼镜无胡子的英俊男性、蓝色西装、B,商业棚拍、冷调奢华,中心人物+巨型B字母,待判断,有,与原图和第一轮对照后作为当前阶段最终结果,研究者,793,待复核,R2-SEED-018-A；P1修正人物与背景标识；尚未进行第三轮。
OUT-R2-019-01,10,SEED-019,2,最终,R2-SEED-019-A.png,海蓝、黑、白、城市灰,微俯拍广角垂直街景,交通灯、手机女性、鲨鱼、玻璃建筑,超现实城市景观、冷调,现实街道与水下世界叠置,待判断,有,与原图和第一轮对照后作为当前阶段最终结果,研究者,793,待复核,R2-SEED-019-A；P1修正机位与空间关系；尚未进行第三轮。
OUT-R2-021-01,12,SEED-021,2,最终,R2-SEED-021-A.png,黑白、亮蓝、鲜红,正面近景,女性、墨镜、红唇、黑手套,高对比时尚肖像,局部色彩保留,待判断,有,与原图和第一轮对照后作为当前阶段最终结果,研究者,793,待复核,R2-SEED-021-A；P1修正黑白与局部色彩；尚未进行第三轮。
