公开提示词驱动的图像复现实验｜研究数据,,,,,,,
本工作簿记录公开提示词驱动的图像复现过程：以公开提示词为P0，通过P1/P2修订、再生成和结果对比，观察任务组织、反馈与差异修正。完整数据仍保留在各明细页。,研究单位为“任务种子 × 生成会话”。公开提示词只作为P0初始任务；真正记录的是研究者的生成、修订、再生成和结果选择过程。30条任务种子不等于30条已完成会话。,研究单位为“任务种子 × 生成会话”。公开提示词只作为P0初始任务；真正记录的是研究者的生成、修订、再生成和结果选择过程。30条任务种子不等于30条已完成会话。,研究单位为“任务种子 × 生成会话”。公开提示词只作为P0初始任务；真正记录的是研究者的生成、修订、再生成和结果选择过程。30条任务种子不等于30条已完成会话。,研究单位为“任务种子 × 生成会话”。公开提示词只作为P0初始任务；真正记录的是研究者的生成、修订、再生成和结果选择过程。30条任务种子不等于30条已完成会话。,研究单位为“任务种子 × 生成会话”。公开提示词只作为P0初始任务；真正记录的是研究者的生成、修订、再生成和结果选择过程。30条任务种子不等于30条已完成会话。,研究单位为“任务种子 × 生成会话”。公开提示词只作为P0初始任务；真正记录的是研究者的生成、修订、再生成和结果选择过程。30条任务种子不等于30条已完成会话。,研究单位为“任务种子 × 生成会话”。公开提示词只作为P0初始任务；真正记录的是研究者的生成、修订、再生成和结果选择过程。30条任务种子不等于30条已完成会话。
,,,,,,,
一、研究设计,,,,,,,
研究对象,以30条公开提示词作为任务种子；当前形成16条研究者生成会话，记录多轮生成、比较与提示词修订过程。,,,,,,
样本单位,一条会话=一个任务种子在一个平台上的一次完整生成过程；不是原作者的原始作品，也不是原作者的真实行为记录。,,,,,,
轮次定义,每次产生新图或新版本结果，计为一轮；同一轮生成多张图，仍按一轮记录，另记结果图数量。,,,,,,
提示词修改,后续指令改变主体、构图、风格、色彩、动作、比例或约束条件，计为一次主动修改；平台自动扩写单独记录。,,,,,,
停止规则,达到预设完成标准即停止；若始终未达到，最多记录5轮，并在备注中说明未完成原因。,,,,,,
,,,,,,,
二、填写顺序,,,,,,,
01｜任务种子库,从30条公开提示词中确认任务种子，并以实际完成的研究者生成会话为分析单位。,,,,,,
02｜会话登记,按实际完成的研究者生成会话登记一行；记录目标、轮次、修改次数和证据路径。,,,,,,
03｜提示词版本,按P0、P1、P2……记录每一版完整提示词，并说明本次改动针对什么问题。,,,,,,
04｜过程事件,一行一个事件；用事件顺序还原输入、生成、选择、修订、再生成和完成。,,,,,,
05｜作品特征/典型案例,对中间版和最终版做可观察编码，再从配对会话中选3—5个案例写入第四章。,,,,,,
,,,,,,,
三、论文表述边界,,,,,,,
可以说,在公开提示词驱动的研究者生成实验中，观察到反馈、修订和结果组织过程的差异。,,,,,,
不能说,原作者用了几轮、普通用户普遍如何修改提示词、某平台必然造成某种审美结果。,,,,,,
伦理要求,公开提示词仅作为研究起点；不要将重新生成的图片冒充原作者作品，正文引用时保留来源链接和任务种子编号。,,,,,,
限制说明,研究者、账号、模型版本和任务设置会影响轮次与修改次数；因此结论应定位为机制性观察，不作总体推断。,,,,,,
