统计汇总｜生成过程描述性指标,,,,,,,,,,
统计对象是研究者的复现会话，不代表原作者或平台用户总体行为。当前汇总用于描述生成过程和视觉复核结果。,统计对象是研究者完成的会话，不是原作者行为。默认只统计会话登记中“采样状态=纳入”的记录；空白会话不会产生虚假比例。,统计对象是研究者完成的会话，不是原作者行为。默认只统计会话登记中“采样状态=纳入”的记录；空白会话不会产生虚假比例。,统计对象是研究者完成的会话，不是原作者行为。默认只统计会话登记中“采样状态=纳入”的记录；空白会话不会产生虚假比例。,统计对象是研究者完成的会话，不是原作者行为。默认只统计会话登记中“采样状态=纳入”的记录；空白会话不会产生虚假比例。,统计对象是研究者完成的会话，不是原作者行为。默认只统计会话登记中“采样状态=纳入”的记录；空白会话不会产生虚假比例。,统计对象是研究者完成的会话，不是原作者行为。默认只统计会话登记中“采样状态=纳入”的记录；空白会话不会产生虚假比例。,统计对象是研究者完成的会话，不是原作者行为。默认只统计会话登记中“采样状态=纳入”的记录；空白会话不会产生虚假比例。,统计对象是研究者完成的会话，不是原作者行为。默认只统计会话登记中“采样状态=纳入”的记录；空白会话不会产生虚假比例。,统计对象是研究者完成的会话，不是原作者行为。默认只统计会话登记中“采样状态=纳入”的记录；空白会话不会产生虚假比例。,统计对象是研究者完成的会话，不是原作者行为。默认只统计会话登记中“采样状态=纳入”的记录；空白会话不会产生虚假比例。
,,,,,,,,,,
核心指标,核心指标,核心指标,,平台会话分布,平台会话分布,平台会话分布,,提示词改动类型分布,提示词改动类型分布,提示词改动类型分布
指标,数值,统计口径,,平台,纳入会话数,占纳入会话,,改动类型,事件/版本数,备注
任务种子总数,=COUNTA(任务种子库!$A$5:$A$34),任务种子库中有ID的公开提示词,,ChatGPT,"=COUNTIFS(会话登记!$D$5:$D$104,E6,会话登记!$Q$5:$Q$104,""纳入"")","=IFERROR(F6/$B$11,0)",,主体,"=COUNTIF(提示词版本!$F$5:$F$104,I6)",61
已选配对任务数,"=COUNTIF(任务种子库!$M$5:$M$34,""是"")",任务种子中是否纳入配对实验=是,,Gemini,"=COUNTIFS(会话登记!$D$5:$D$104,E7,会话登记!$Q$5:$Q$104,""纳入"")","=IFERROR(F7/$B$11,0)",,构图,"=COUNTIF(提示词版本!$F$5:$F$104,I7)",重点观察审美判断
会话总数,=COUNTA(会话登记!$A$5:$A$104),会话登记中有会话ID的记录,,,,,,风格,"=COUNTIF(提示词版本!$F$5:$F$104,I8)",重点观察趋同/差异
ChatGPT会话数,"=COUNTIF(会话登记!$D$5:$D$104,""ChatGPT"")",平台=ChatGPT,,,,,,色彩,"=COUNTIF(提示词版本!$F$5:$F$104,I9)",61
Gemini会话数,"=COUNTIF(会话登记!$D$5:$D$104,""Gemini"")",平台=Gemini,,,,,,动作,"=COUNTIF(提示词版本!$F$5:$F$104,I10)",61
纳入会话数,"=COUNTIF(会话登记!$Q$5:$Q$104,""纳入"")",采样状态=纳入,,,,,,比例/尺寸,"=COUNTIF(提示词版本!$F$5:$F$104,I11)",61
完整闭环率,"=IFERROR(COUNTIFS(会话登记!$Q$5:$Q$104,""纳入"",会话登记!$P$5:$P$104,""是"")/$B$11,0)",纳入会话中是否形成完整闭环=是,,,,,,负向约束,"=COUNTIF(提示词版本!$F$5:$F$104,I12)",61
平均生成轮次,"=IFERROR(SUMIFS(会话登记!$L$5:$L$104,会话登记!$Q$5:$Q$104,""纳入"")/$B$11,0)",纳入会话的总生成轮次平均值,,,,,,其他,"=COUNTIF(提示词版本!$F$5:$F$104,I13)",61
平均提示词修改次数,"=IFERROR(SUMIFS(会话登记!$M$5:$M$104,会话登记!$Q$5:$Q$104,""纳入"")/$B$11,0)",纳入会话的提示词修改次数平均值,,,,,,,,
自动扩写/改写发生率,"=IFERROR(COUNTIFS(会话登记!$Q$5:$Q$104,""纳入"",会话登记!$N$5:$N$104,""有"")/$B$11,0)",纳入会话中自动扩写/平台改写=有,,,,,,,,
ChatGPT平均轮次,"=IFERROR(SUMIFS(会话登记!$L$5:$L$104,会话登记!$D$5:$D$104,""ChatGPT"",会话登记!$Q$5:$Q$104,""纳入"")/COUNTIFS(会话登记!$D$5:$D$104,""ChatGPT"",会话登记!$Q$5:$Q$104,""纳入""),0)",纳入ChatGPT会话的平均轮次,,,,,,,,
Gemini平均轮次,"=IFERROR(SUMIFS(会话登记!$L$5:$L$104,会话登记!$D$5:$D$104,""Gemini"",会话登记!$Q$5:$Q$104,""纳入"")/COUNTIFS(会话登记!$D$5:$D$104,""Gemini"",会话登记!$Q$5:$Q$104,""纳入""),0)",纳入Gemini会话的平均轮次,,,,,,,,
关键转折事件数,"=COUNTIF(过程事件!$M$5:$M$104,""是"")",过程事件中关键转折=是,,,,,,,,
入选典型案例数,"=COUNTIF(典型案例!$E$5:$E$9,""入选"")",典型案例中案例状态=入选,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
任务类型分布,任务类型分布,任务类型分布,,会话状态分布,会话状态分布,会话状态分布,,,,
任务类型,任务种子数,占任务种子,,会话状态,会话数,使用说明,,,,
文生图,"=COUNTIF(任务种子库!$K$5:$K$34,A24)","=IFERROR(B24/$B$6,0)",,待开始,"=COUNTIF(会话登记!$Q$5:$Q$104,E24)",尚未开始,,,,
图生图,"=COUNTIF(任务种子库!$K$5:$K$34,A25)","=IFERROR(B25/$B$6,0)",,进行中,"=COUNTIF(会话登记!$Q$5:$Q$104,E25)",已有记录但未核验,,,,
待人工复核,"=COUNTIF(任务种子库!$K$5:$K$34,A26)","=IFERROR(B26/$B$6,0)",,纳入,"=COUNTIF(会话登记!$Q$5:$Q$104,E26)",进入统计,,,,
,,,,排除,"=COUNTIF(会话登记!$Q$5:$Q$104,E27)",保留排除理由,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
当前阶段：第一轮18张、第二轮14张、第三轮9张；轮次对比总表将三轮视觉证据并列展示。,,,,,,,,,,
研究口径：每条记录对应“任务种子 × 生成会话”；轮次、修改次数和差异判断均以会话证据为准。,,,,,,,,,,
第三轮重点：修正画布比例、构图、人物属性、目的地语义、服装、配饰和动态效果。,,,,,,,,,,
SEED-020因生图服务安全策略拦截未产生后续图片，作为平台治理事件单独记录。,,,,,,,,,,
009、010、023、025、026在第二轮达到阶段目标，因此未继续生成第三轮。,,,,,,,,,,
典型案例已选5个：SEED-002、007、017、019、021；平台、模型和上下文信息仍未全部补齐，汇总不用于跨平台总体推断。,,,,,,,,,,
