提示词版本｜P0 → P1 → P2 → Final,,,,,,,,,,
每一行是一版完整提示词。第三轮P2已并入本页；先看“修改原因与核心修订”，完整P2提示词保留在“完整提示词”列。,每一行是一版完整提示词。必须记录改动原因，避免只记录“改了提示词”而无法解释提示词如何参与判断和协商。,每一行是一版完整提示词。必须记录改动原因，避免只记录“改了提示词”而无法解释提示词如何参与判断和协商。,每一行是一版完整提示词。必须记录改动原因，避免只记录“改了提示词”而无法解释提示词如何参与判断和协商。,每一行是一版完整提示词。必须记录改动原因，避免只记录“改了提示词”而无法解释提示词如何参与判断和协商。,每一行是一版完整提示词。必须记录改动原因，避免只记录“改了提示词”而无法解释提示词如何参与判断和协商。,每一行是一版完整提示词。必须记录改动原因，避免只记录“改了提示词”而无法解释提示词如何参与判断和协商。,每一行是一版完整提示词。必须记录改动原因，避免只记录“改了提示词”而无法解释提示词如何参与判断和协商。,每一行是一版完整提示词。必须记录改动原因，避免只记录“改了提示词”而无法解释提示词如何参与判断和协商。,每一行是一版完整提示词。必须记录改动原因，避免只记录“改了提示词”而无法解释提示词如何参与判断和协商。,每一行是一版完整提示词。必须记录改动原因，避免只记录“改了提示词”而无法解释提示词如何参与判断和协商。
,,,,,,,,,,
版本ID,会话ID,版本顺序,版本阶段,完整提示词,改动类型,修改原因与核心修订,执行者,对应输出ID,证据编号,纳入分析
PV-R1-009-P0,6,0,v0.0,"I have been meaning to do POV videos and thought why not come up with a modular prompt for these types of shots. Here is an attempt:

2x2 grid, 16:9, ai inferred subjects: input = [athlete / sport_or_activity / action_beat / venue / camera_source] run extreme_pov_sports_extraction: sport_dna := infer rules, gear, surface, movement style, and athlete role athlete_dna := infer body type, uniform, equipment, posture, effort, and emotional intensity action_state := infer exact frozen moment: launch, strike, landing, sprint, collision, dodge, slide, swing, flip, or follow-through camera_position := infer ground-level, object-mounted, helmet-mounted, court-edge, underwater, snow-level, wheel-level, or player-facing pov lens_behavior := infer fisheye distortion, wide-angle stretch, close-focus blur, lens flare, dirt, water drops, grass, snow, dust, or scratches foreground_exaggeration := infer closest limb, equipment, wheel, board, glove, racket, hoof, fin, machine part, or object venue_geometry := infer stadium ring, court lines, arena lights, street barriers, ocean horizon, mountain slope, track curve, or gym ceiling surface_physics := infer turf compression, dust spray, court reflection, ice scrape, water splash, sand kickup, snow burst, or pavement grit lighting := infer sun glare, floodlights, backlight, harsh noon, neon, indoor spotlight, or natural overcast motion_physics := infer blur direction, body momentum, particles, shadow stretch, and speed cues render: a dramatic extreme pov action frame where the viewer feels physically inside the sport. forbidden: hard-coded sport, hard-coded cleat, hard-coded stadium, hard-coded grass, hard-coded ball, perfect clean framing, static pose, generic sports poster.",无改动,以公开提示词作为第一轮复现起点；结果见轮次对比总表。,研究者/用户主动修改,OUT-R1-009-01,R1-SEED-009-A,否
PV-R1-009-P1,6,1,v0.1,"I have been meaning to do POV videos and thought why not come up with a modular prompt for these types of shots. Here is an attempt:

2x2 grid, 16:9, ai inferred subjects: input = [athlete / sport_or_activity / action_beat / venue / camera_source] run extreme_pov_sports_extraction: sport_dna := infer rules, gear, surface, movement style, and athlete role athlete_dna := infer body type, uniform, equipment, posture, effort, and emotional intensity action_state := infer exact frozen moment: launch, strike, landing, sprint, collision, dodge, slide, swing, flip, or follow-through camera_position := infer ground-level, object-mounted, helmet-mounted, court-edge, underwater, snow-level, wheel-level, or player-facing pov lens_behavior := infer fisheye distortion, wide-angle stretch, close-focus blur, lens flare, dirt, water drops, grass, snow, dust, or scratches foreground_exaggeration := infer closest limb, equipment, wheel, board, glove, racket, hoof, fin, machine part, or object venue_geometry := infer stadium ring, court lines, arena lights, street barriers, ocean horizon, mountain slope, track curve, or gym ceiling surface_physics := infer turf compression, dust spray, court reflection, ice scrape, water splash, sand kickup, snow burst, or pavement grit lighting := infer sun glare, floodlights, backlight, harsh noon, neon, indoor spotlight, or natural overcast motion_physics := infer blur direction, body momentum, particles, shadow stretch, and speed cues render: a dramatic extreme pov action frame where the viewer feels physically inside the sport. forbidden: hard-coded sport, hard-coded cleat, hard-coded stadium, hard-coded grass, hard-coded ball, perfect clean framing, static pose, generic sports poster.

【第一轮复核后建议补充的约束】
使用16:9横向宽幅，并将画面严格分为横向2×2等分面板；固定四个面板的活动与顺序：左上山地自行车、右上冲浪、左下篮球扣篮、右下雪地滑行/单板；每格保持极限第一视角、前景器材夸张、运动瞬间冻结，不得改成长幅竖版、用击剑替换篮球或新增运动项目。",构图/动作,第一轮与公开结果图在构图/动作层面存在明显差异偏差，建议把关键约束前置并显式化；P1目前为建议版，尚未生成验证图。；第二轮已执行并生成结果。,研究者/用户主动修改,OUT-R2-009-01,R1-SEED-009-A,是
PV-R1-010-P0,7,0,v0.0,"Ultra-realistic cinematic macro miniature photography, a vertical 2×3 collage (six panels) featuring the same tiny stylized man with a slightly oversized expressive head, finger-sized, enjoying a series of funny beach adventures. Every panel tells a different story while maintaining the same character and highly realistic visual style. Golden beach sand, turquoise ocean, warm summer sunlight, shallow depth of field, creamy bokeh, vibrant colors, dramatic cinematic lighting, ultra-detailed textures, DSLR quality, RAW photo, 8K, photorealistic, humorous expressions, no text, no watermark. Panel 1: The tiny man relaxes on a miniature wooden beach chair, hugging a gigantic coconut drink with a straw while a huge human hand gently places a tiny pink beach umbrella above him. His face shows exaggerated surprise and relief from the heat. Panel 2: The tiny man rides a miniature yellow bodyboard at the shoreline while a giant human hand pinches the back of his red shirt, pulling him away just as a foamy wave reaches him. Water splashes dramatically around him, creating a funny rescue moment. Panel 3: The tiny man sits nervously on the back of an enormous bright orange crab, shading his eyes with one hand while looking toward the horizon as if searching for help. The crab appears calm but gigantic compared to him. Panel 4: Standing on a smooth beach stone, the tiny man struggles to hold an oversized fishing rod that's deeply bent under the weight of a huge freshly caught fish hanging from the line. His body leans backward from the effort with an exaggerated shocked expression. Panel 5: Only the tiny man's head and shoulders stick out from a mound of beach sand while a giant blue plastic shovel, controlled by a huge human hand, pours more sand over him. His straw hat is tilted and his terrified yet comical facial expression creates a playful scene. Panel 6: The tiny man crouches safely inside an enormous open seashell like a natural shelter, reaching one hand outward with a dramatic expression while surrounded by scattered giant seashells on the beach. Soft sunlight illuminates the shell interior, creating a magical cinematic ending. Style: Hyper-realistic macro photography, forced perspective, miniature illusion, ultra-detailed skin textures, realistic sand grains, natural ocean waves, cinematic composition, perfect scale consistency, humorous storytelling, highly expressive face, warm summer color grading, professional advertising photography, vertical composition (4:5), no text, no logos, no watermark.",无改动,以公开提示词作为第一轮复现起点；结果见轮次对比总表。,研究者/用户主动修改,OUT-R1-010-01 / OUT-R1-010-02,R1-SEED-010-A、R1-SEED-010-B,否
PV-R1-010-P1,7,1,v0.1,"Ultra-realistic cinematic macro miniature photography, a vertical 2×3 collage (six panels) featuring the same tiny stylized man with a slightly oversized expressive head, finger-sized, enjoying a series of funny beach adventures. Every panel tells a different story while maintaining the same character and highly realistic visual style. Golden beach sand, turquoise ocean, warm summer sunlight, shallow depth of field, creamy bokeh, vibrant colors, dramatic cinematic lighting, ultra-detailed textures, DSLR quality, RAW photo, 8K, photorealistic, humorous expressions, no text, no watermark. Panel 1: The tiny man relaxes on a miniature wooden beach chair, hugging a gigantic coconut drink with a straw while a huge human hand gently places a tiny pink beach umbrella above him. His face shows exaggerated surprise and relief from the heat. Panel 2: The tiny man rides a miniature yellow bodyboard at the shoreline while a giant human hand pinches the back of his red shirt, pulling him away just as a foamy wave reaches him. Water splashes dramatically around him, creating a funny rescue moment. Panel 3: The tiny man sits nervously on the back of an enormous bright orange crab, shading his eyes with one hand while looking toward the horizon as if searching for help. The crab appears calm but gigantic compared to him. Panel 4: Standing on a smooth beach stone, the tiny man struggles to hold an oversized fishing rod that's deeply bent under the weight of a huge freshly caught fish hanging from the line. His body leans backward from the effort with an exaggerated shocked expression. Panel 5: Only the tiny man's head and shoulders stick out from a mound of beach sand while a giant blue plastic shovel, controlled by a huge human hand, pours more sand over him. His straw hat is tilted and his terrified yet comical facial expression creates a playful scene. Panel 6: The tiny man crouches safely inside an enormous open seashell like a natural shelter, reaching one hand outward with a dramatic expression while surrounded by scattered giant seashells on the beach. Soft sunlight illuminates the shell interior, creating a magical cinematic ending. Style: Hyper-realistic macro photography, forced perspective, miniature illusion, ultra-detailed skin textures, realistic sand grains, natural ocean waves, cinematic composition, perfect scale consistency, humorous storytelling, highly expressive face, warm summer color grading, professional advertising photography, vertical composition (4:5), no text, no logos, no watermark.

【第一轮复核后建议补充的约束】
锁定六格叙事与同一角色：1椰子饮料+人手放伞，2红衣身体板救援，3巨大橙色螃蟹，4弯曲鱼竿与大鱼，5沙堆与蓝色铲子，6巨大贝壳避难；保持同一服装、面部和微缩尺度，不增加文字和水印。",动作,第一轮与公开结果图在动作层面存在轻微差异偏差，建议把关键约束前置并显式化；P1目前为建议版，尚未生成验证图。；第二轮已执行并生成结果。,研究者/用户主动修改,OUT-R2-010-01,R1-SEED-010-A、R1-SEED-010-B,是
PV-R1-017-P0,8,0,v0.0,"Ultra-natural Korean-inspired ‘clean girl’ makeup with flawless porcelain skin, soft matte finish, subtle brightening under the eyes, natural skin texture preserved, feathered straight brows, taupe eyeshadow blended softly into the crease, thin brown winged eyeliner, curled lashes with light mascara, no heavy false lashes, large doe eyes enhanced with soft aegyo-sal, minimal contouring, lightly sculpted nose, soft peach-pink blush placed high on the cheeks, blurred gradient nude pink lips with a satin finish, delicate beauty marks on the face, fresh youthful appearance, black wavy hair with a center part, soft natural daylight, high-definition beauty photography, elegant, minimalistic, realistic, no heavy glam, no harsh contour, no bold lipstick, ethereal Korean beauty aesthetic, 8K ultra-realistic.",无改动,以公开提示词作为第一轮复现起点；结果见轮次对比总表。,研究者/用户主动修改,OUT-R1-017-01,R1-SEED-017-A,否
PV-R1-017-P1,8,1,v0.1,"Ultra-natural Korean-inspired ‘clean girl’ makeup with flawless porcelain skin, soft matte finish, subtle brightening under the eyes, natural skin texture preserved, feathered straight brows, taupe eyeshadow blended softly into the crease, thin brown winged eyeliner, curled lashes with light mascara, no heavy false lashes, large doe eyes enhanced with soft aegyo-sal, minimal contouring, lightly sculpted nose, soft peach-pink blush placed high on the cheeks, blurred gradient nude pink lips with a satin finish, delicate beauty marks on the face, fresh youthful appearance, black wavy hair with a center part, soft natural daylight, high-definition beauty photography, elegant, minimalistic, realistic, no heavy glam, no harsh contour, no bold lipstick, ethereal Korean beauty aesthetic, 8K ultra-realistic.

【第一轮复核后建议补充的约束】
保留韩系清透妆容、桃色腮红、灰棕眼影、黑色长发和正面近景裁切；女孩必须穿黑色上衣或黑色连衣裙，不使用米白、奶油色或浅色上衣，背景保持低饱和室内光线。",主体/色彩,第一轮与公开结果图在主体/色彩层面存在轻微差异偏差，建议把关键约束前置并显式化；P1目前为建议版，尚未生成验证图。；第二轮已执行并生成结果。,研究者/用户主动修改,OUT-R2-017-01,R1-SEED-017-A,是
PV-R1-018-P0,9,0,v0.0,"Use the uploaded image as the identity reference. Preserve 100% of the original face without any changes. Keep the exact same facial identity, facial structure, skin tone, hairstyle, hair color, hairline, beard, mustache, eyebrows, eyes, nose, lips, jawline, ears, glasses, expression, and overall recognizable appearance. Do not alter the age or facial proportions.

Create an ultra-realistic premium studio portrait of the same person sitting confidently in a modern navy-blue velvet armchair. He is wearing a textured royal blue suit with a matching blue crew-neck t-shirt, white sneakers, and white socks. Keep the forearm tattoos, silver luxury wristwatch, and rings exactly as in the reference image. His elbows rest naturally on his thighs, hands relaxed together, looking directly into the camera with a calm, confident expression.

The background is a smooth light-to-dark blue gradient with a giant bold dark-blue letter ""M"" behind him. Glossy reflective blue floor, soft cinematic studio lighting, symmetrical centered composition, shallow depth of field, luxury editorial fashion photography, hyper-realistic skin texture, HDR, 8K, ultra-detailed, premium commercial advertisement quality.

Camera: Full-body portrait, eye-level, 85mm lens, f/2.8, ISO 100, vertical 4:5 aspect ratio.

Negative Prompt:

Do not change the face, hairstyle, beard, glasses, skin tone, age, facial proportions, or expression. No extra fingers, bad anatomy, blur, low quality, watermark, text, logo, cropped body, duplicate limbs, oversharpening, unrealistic skin, cartoon, CGI.",无改动,以公开提示词作为第一轮复现起点；结果见轮次对比总表。,研究者/用户主动修改,OUT-R1-018-01,R1-SEED-018-A,否
PV-R1-018-P1,9,1,v0.1,"Use the uploaded image as the identity reference. Preserve 100% of the original face without any changes. Keep the exact same facial identity, facial structure, skin tone, hairstyle, hair color, hairline, beard, mustache, eyebrows, eyes, nose, lips, jawline, ears, glasses, expression, and overall recognizable appearance. Do not alter the age or facial proportions.

Create an ultra-realistic premium studio portrait of the same person sitting confidently in a modern navy-blue velvet armchair. He is wearing a textured royal blue suit with a matching blue crew-neck t-shirt, white sneakers, and white socks. Keep the forearm tattoos, silver luxury wristwatch, and rings exactly as in the reference image. His elbows rest naturally on his thighs, hands relaxed together, looking directly into the camera with a calm, confident expression.

The background is a smooth light-to-dark blue gradient with a giant bold dark-blue letter ""M"" behind him. Glossy reflective blue floor, soft cinematic studio lighting, symmetrical centered composition, shallow depth of field, luxury editorial fashion photography, hyper-realistic skin texture, HDR, 8K, ultra-detailed, premium commercial advertisement quality.

Camera: Full-body portrait, eye-level, 85mm lens, f/2.8, ISO 100, vertical 4:5 aspect ratio.

Negative Prompt:

Do not change the face, hairstyle, beard, glasses, skin tone, age, facial proportions, or expression. No extra fingers, bad anatomy, blur, low quality, watermark, text, logo, cropped body, duplicate limbs, oversharpening, unrealistic skin, cartoon, CGI.

【第一轮复核后建议补充的约束】
生成一位英俊、干净利落、无胡子的年轻男性，不戴眼镜，穿深蓝色西装并保持正面坐姿；背景必须出现巨大的立体字母B，采用深蓝渐变的奢华棚拍环境，不替换成其他字母或带胡须人物。",主体,第一轮与公开结果图在主体层面存在明显差异偏差，建议把关键约束前置并显式化；P1目前为建议版，尚未生成验证图。；第二轮已执行并生成结果。,研究者/用户主动修改,OUT-R2-018-01,R1-SEED-018-A,是
