轮次对比总表｜原图 × 第一轮 × 第二轮 × 第三轮,,,,,,,,,,,,,
每个任务种子一行，四个图像栏横向并列。空白轮次表示未生成或未继续；SEED-020的P1安全拦截作为治理事件保留。SEED-002与SEED-010的第一轮双候选均保留在同一行。,,,,,,,,,,,,,
,,,,,,,,,,,,,
种子ID,样本标题,原图,第一轮,第二轮,第三轮,推进状态,第一轮核心偏差,第二轮修正,第三轮修正,剩余差异/停止原因,提示词版本,文件/证据,原图链接
SEED-001,Four scientists sketched in a grid with gesture lines,,,,,R1 → R2 → R3,2×2四格被改成跨格中心大图。,恢复2×2四格和单格主体。,已改为1:1正方形；保留2×2四格。,姿态、公式和线条仍有差异。,PV-R1-001-P0 → PV-R1-001-P1 → PV-R2-001-P2,R1: 59c42624-2b36-4cf1-9c48-f331c858efca.png；R2: R2-SEED-001-A.png；R3: R3-SEED-001-A.png,https://covers.openpromptlib.com/four-scientists-sketched-in-a-grid-with-gesture-li-uu9dSGsk_1.webp
SEED-002,A royal queen holds a flaming card amid glowing physics equations.,,,,,R1 → R2 → R3,核心结构保留；第一轮文件与既有示例重复。,保持火焰、皇后、公式和红心牌。,卡牌移至胸口正中，卡面朝向镜头。,面貌、公式文字和手部细节仍有差异。,PV-R1-002-P0 → 会话2已有v0.1 → PV-R2-002-P2,R1: a64bd9b3-28b6-4c1a-8245-0e269de45033.png / c69109d0-9932-4c04-b0b7-41c4fa39ff89.png；R2: R2-SEED-002-A.png；R3: R3-SEED-002-A.png,https://covers.openpromptlib.com/a-royal-queen-holds-a-flaming-card-amid-glowing-ph-ZtKmXino_1.webp
SEED-005,Sun-kissed portrait captures joyful serenity in mustard yellow,,,,,R1（基线）,主体、色彩和暖光基本保持，细节有差异。,未进入第二轮，保留第一轮基线。,未继续第三轮,第一轮已作基线，未新增P1。,PV-R1-005-P0,R1: 05.png；R2: 未生成；R3: 未生成,https://covers.openpromptlib.com/sun-kissed-portrait-captures-joyful-serenity-in-mu-ZkxWdutA_1.webp
SEED-007,Young child poses playfully with giant gold letters in a luxury studio,,,,,R1 → R2 → R3,16:9横幅被改成竖向海报，字母与人物关系改变。,恢复16:9横幅和横向金色字母。,保持16:9，并拉齐6个人物的视觉尺度。,字母拼写、动作和个别人物比例仍需核验。,PV-R1-007-P0 → PV-R1-007-P1 → PV-R2-007-P2,R1: 07.png；R2: R2-SEED-007-A.png；R3: R3-SEED-007-A.png,https://covers.openpromptlib.com/young-child-poses-playfully-with-giant-gold-letter-phEHD1XY_1.webp
SEED-008,Eiffel Tower rises above layered papercraft diorama of Paris,,,,,R1 → R2 → R3,原图文字/地标为USA，P0和标题写PARIS，出现语义冲突。,恢复PARIS、埃菲尔铁塔、书签语义。,目标由PARIS改为USA，并补入美国地标与USA文字。,小字、地标和卡片文字仍可能有差异。,PV-R1-008-P0 → PV-R1-008-P1 → PV-R2-008-P2,R1: 08.png；R2: R2-SEED-008-A.png；R3: R3-SEED-008-A.png,https://covers.openpromptlib.com/eiffel-tower-rises-above-layered-papercraft-dioram-giiS5V6p_1.webp
SEED-009,A basketball player leaps for a dunk in a crowded arena,,,,,R1 → R2（阶段达标）,横向2×2运动POV变成竖版，运动项目被替换。,恢复16:9横向2×2运动POV和篮球扣篮。,未继续第三轮,各运动面板的动作瞬间、器材和景别仍有细节差异。,PV-R1-009-P0 → PV-R1-009-P1,R1: 09.png；R2: R2-SEED-009-A.png；R3: 未生成,https://covers.openpromptlib.com/a-basketball-player-leaps-for-a-dunk-in-a-crowded--OA8d8wCE_1.webp
SEED-010,Tiny man hugs giant coconut as human hand places umbrella,,,,,R1 → R2（阶段达标）,六格微缩叙事保留，但两候选的角色与道具不稳定。,六格叙事与角色一致性改善。,未继续第三轮,局部服装、道具姿态和人物表情仍有变化；两轮中同一角色的一致性仍可继续观察。,PV-R1-010-P0 → PV-R1-010-P1,R1: 10.png / Generated_image.png；R2: R2-SEED-010-A.png；R3: 未生成,https://covers.openpromptlib.com/tiny-man-hugs-giant-coconut-as-human-hand-places-u-bxtYV61c_1.webp
SEED-017,Soft peach blush and taupe shadows define Korean clean girl makeup,,,,,R1 → R2 → R3,女孩衣服由原图黑色变为浅色。,改回黑色服装。,保持黑色服装，改为轻微三分之四侧脸。,发型、妆容和面部细节仍有差异。,PV-R1-017-P0 → PV-R1-017-P1 → PV-R2-017-P2,R1: 17.png；R2: R2-SEED-017-A.png；R3: R3-SEED-017-A.png,https://covers.openpromptlib.com/soft-peach-blush-and-taupe-shadows-define-korean-c-IHgaVHaX_1.webp
SEED-018,Confident businessman in blue suit poses in luxurious studio,,,,,R1 → R2 → R3,B背景、无眼镜、无胡子等属性未准确复现。,补足B背景、无眼镜、无胡子和蓝西装。,保持无眼镜、无胡子、B背景，加入轻微侧脸与偏离视线。,脸部身份、坐姿和背景材质仍可能不同。,PV-R1-018-P0 → PV-R1-018-P1 → PV-R2-018-P2,R1: 18.png；R2: R2-SEED-018-A.png；R3: R3-SEED-018-A.png,https://covers.openpromptlib.com/confident-businessman-in-blue-suit-poses-in-luxuri-BgZlZpJI_1.webp
SEED-019,A Young Woman at a Traffic Light Under a Floating Ocean,,,,,R1 → R2 → R3,微俯拍广角被弱化，海洋生物与街景关系变化。,恢复微俯拍、广角和交通灯柱构图。,改为白色上衣、黑色裤子，保留微俯拍广角构图。,海洋生物、建筑细节和人物位置仍有差异。,PV-R1-019-P0 → PV-R1-019-P1 → PV-R2-019-P2,R1: 19.png；R2: R2-SEED-019-A.png；R3: R3-SEED-019-A.png,https://covers.openpromptlib.com/a-young-woman-at-a-traffic-light-under-a-floating--7pAMVSo2_1.webp
