任务种子库｜30条公开提示词（P0）,,,,,,,,,,,,,,
这些提示词来自公开图库，只作为研究者的初始任务。30条任务种子中，实际记录的生成会话以session_registry.csv为准；原始结果图用于参照，不是本实验的最终结果。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
任务种子ID,公开详情页,来源平台,原页面模型,样本标题,P0公开提示词,原结果图,列1,原始来源,发布日期,初步任务类型,主题/视觉对象,是否纳入配对实验,配对任务ID,来源备注
SEED-001,https://openpromptlib.com/prompt/four-scientists-sketched-in-a-grid-with-gesture-li-uu9dSGsk,OpenPromptLib,ChatGPT Image 2,Four scientists sketched in a grid with gesture lines,"“2x2 grid, do this for 4 famous scientists { Instructions: SUBJECT // Build a gesture field G(x,y) from the subject’s inferred motion and attitude. G = ∇(pose_energy($ SUBJECT)) + ∇×(attitude_curl($ SUBJECT)) // Streamlines of G become the primary sketch lines: tapered, overlapping, confident. // Focal features (eyes, hands) sit at critical points of |G|. // Cel‑shadow patches = regions where ∇·G > threshold, filled with flat soft‑blue/grey. // Secondary study crops: placed along the perpendicular gradient of G at lower density. // Palette: warm beige, cream, charcoal, grey, soft blue (auto‑sampled from subject’s inferred mood). // Background: pure white, slight framing marks from contour of G at canvas edge. // Rendering: rough ink brush with visible construction strokes, no smoothing. }”",https://covers.openpromptlib.com/four-scientists-sketched-in-a-grid-with-gesture-li-uu9dSGsk_1.webp,,https://x.com/Gdgtify/status/2078120537327391180,2026-07-17 00:00:00,文生图,插画/风格化,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-002,https://openpromptlib.com/prompt/a-royal-queen-holds-a-flaming-card-amid-glowing-ph-ZtKmXino,OpenPromptLib,Nano Banana Pro,A royal queen holds a flaming card amid glowing physics equations.,"An ultra-realistic luxury royal fantasy portrait framed as a symmetrical premium playing card. Overlaid across the entire image is a dense pattern of complex mathematical and physics equations (such as calculus integrals, algebra formulas, and physics laws) glowing in a vibrant, semi-transparent ice-blue color.

Central subject: A breathtaking young queen, maintaining the exact facial features, identity, expression, skin tone, eye color, and natural beauty from the reference image. She has long, silky straight ash-beige balayage hair, professionally pressed smooth with luxurious volume, featuring a subtle diamond iridescent shimmer illuminated by cinematic rim lighting.

Attire & Jewelry: She wears an opulent ice-blue royal queen gown with a fully covered high neckline and chest, long embroidered sleeves, elegant structured shoulders, luxurious crystal embroidery, platinum silver threadwork, sapphire gemstones, and intricate beadwork. She wears an elaborate platinum and sapphire diamond crown, matching sapphire chandelier earrings, diamond rings, a sapphire bracelet, and an extravagant sapphire-and-diamond royal necklace.

Pose & Details: She confidently holds a beautifully detailed vintage Queen of Hearts playing card between elegant fingers, while her other hand gracefully rests near her waist.

Frame & Background: The portrait is enclosed inside an ornate luxury Queen of Hearts playing card frame featuring intricate gold filigree, embossed metallic ornaments, ruby heart emblems, and platinum accents. A complete border composed entirely of realistic fire, molten flames, floating glowing embers, sparks, cinematic smoke, and heat distortion surrounds all four edges. The background is a dark charcoal gray luxury studio backdrop with soft atmospheric haze.

Lighting & Style: Soft cinematic key light combined with warm orange rim lighting from the surrounding flames. Volumetric lighting, HDR illumination, and hyper-realistic reflections with soft shadows. 85mm lens style, f/1.8 shallow depth of field, Vogue editorial fashion campaign aesthetic, ultra-sharp focus on the face, 8K resolution, masterpiece quality.",https://covers.openpromptlib.com/a-royal-queen-holds-a-flaming-card-amid-glowing-ph-ZtKmXino_1.webp,,https://x.com/iamsofiaijaz/status/2078106385028653352,2026-07-17 00:00:00,图生图,城市/建筑/空间,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-003,https://openpromptlib.com/prompt/a-traveler-stands-before-sagrada-fam-lia-under-dra-v8ffvzUf,OpenPromptLib,ChatGPT Image 2,A traveler stands before Sagrada Família under dramatic clouds.,"Recreate the exact composition and pose of the reference image with the Sagrada Família centered in the background. Replace the subject with my exact face, hairstyle, beard, and facial features from the reference images. Wear a fitted white crew-neck T-shirt, cream cargo pants, and white sneakers. Maintain the same standing pose, body proportions, camera angle, dramatic cloud-filled sky, natural daylight, cinematic realism, ultra-detailed, photorealistic, 8K, high sharpness, symmetrical composition, --ar 4:5.",https://covers.openpromptlib.com/a-traveler-stands-before-sagrada-fam-lia-under-dra-v8ffvzUf_1.webp,,https://x.com/Xaroon_x/status/2078105805627482588,2026-07-17 00:00:00,图生图,城市/建筑/空间,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-004,https://openpromptlib.com/prompt/expressive-cartoon-figure-with-strong-silhouette-a-qeidf6Vu,OpenPromptLib,Midjourney,Expressive cartoon figure with strong silhouette and painterly style,"--sref 2028026123

It combines exaggerated proportions, painterly textures, and strong silhouette design to produce characters that feel instantly memorable and full of personality.

The aesthetic sits somewhere between concept art and polished animation, with warm color palettes, soft lighting, oversized facial features, and expressive poses that make every character look ready to step into an animated movie.",https://covers.openpromptlib.com/expressive-cartoon-figure-with-strong-silhouette-a-qeidf6Vu_1.webp,,https://x.com/Artedeingenio/status/2078105044893790516,2026-07-17 00:00:00,文生图,插画/风格化,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-005,https://openpromptlib.com/prompt/sun-kissed-portrait-captures-joyful-serenity-in-mu-ZkxWdutA,OpenPromptLib,Meta AI,Sun-kissed portrait captures joyful serenity in mustard yellow,"A stunning, high-resolution portrait of a young woman with a radiant, natural complexion, captured in soft, sun-drenched lighting. She is wearing a vibrant, mustard-yellow textured top that beautifully complements her warm skin tone and light-colored eyes. Her hair is styled in an effortless, tousled updo with delicate strands framing her face, enhancing the relaxed and authentic aesthetic. The background is a soft, out-of-focus natural setting that creates a beautiful bokeh effect, ensuring the focus remains entirely on her gentle, welcoming smile and expressive features. The overall composition is clean, bright, and polished, evoking a sense of joy and natural beauty.",https://covers.openpromptlib.com/sun-kissed-portrait-captures-joyful-serenity-in-mu-ZkxWdutA_1.webp,,https://x.com/Minahil42298354/status/2078104203709325467,2026-07-17 00:00:00,文生图,人物/肖像,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-006,https://openpromptlib.com/prompt/four-fallen-empires-pose-as-chunky-vinyl-designer--fsSfUDpO,OpenPromptLib,ChatGPT Image 2,Four fallen empires pose as chunky vinyl designer toys,"2x2 grid, do this for 4 fallen empires 3d rendering, kidrobot aesthetic, urban vinyl designer toy, [chunky, stylized $ figures in a slumped pose, showing urban apathy or playful rebellion], [subtle backdrop of smooth concrete pedestal and minimalist studio gradient], matte vinyl material, striking color blocking, softbox studio lighting, extreme octane render, 8k resolution, art toy market quality, blind box collector showcase, hobby figure documentation rendering",https://covers.openpromptlib.com/four-fallen-empires-pose-as-chunky-vinyl-designer--fsSfUDpO_1.webp,,https://x.com/Gdgtify/status/2078103676552421879,2026-07-17 00:00:00,文生图,物体/商品,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-007,https://openpromptlib.com/prompt/young-child-poses-playfully-with-giant-gold-letter-phEHD1XY,OpenPromptLib,ChatGPT Image 2,Young child poses playfully with giant gold letters in a luxury studio,"premium ultra-realistic studio portrait featuring a stylish young child in an elegant all-white outfit, captured in a modern luxury photoshoot. The composition combines multiple creative poses in one frame: one large cinematic side-profile close-up wearing gold aviator sunglasses, one smiling front-facing waist-up portrait, and one full-body standing pose with hands in pockets on a marble pedestal. Alongside the portraits, the child is also playfully interacting with giant glossy 3D gold letters spelling ""ZAR NAB"", sitting, standing, and climbing on the letters. Soft beige and light gray gradient background with subtle watercolor splash effects, warm natural studio lighting, volumetric light rays from above, luxurious minimal aesthetic, perfect facial details, realistic skin texture, sharp focus, shallow depth of field, high-end fashion photography, premium editorial style, 8K, ultra-HD,",https://covers.openpromptlib.com/young-child-poses-playfully-with-giant-gold-letter-phEHD1XY_1.webp,,https://x.com/Zarnab_with_Ai/status/2078103448176955759,2026-07-17 00:00:00,文生图,图形文字/版式,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-008,https://openpromptlib.com/prompt/eiffel-tower-rises-above-layered-papercraft-dioram-giiS5V6p,OpenPromptLib,ChatGPT Image 2,Eiffel Tower rises above layered papercraft diorama of Paris,"Create a premium vertical 2:3 collectible travel bookmark featuring {destination}. The bookmark should be a tall, rounded-corner cardstock bookmark resting at a subtle 7° clockwise angle on a warm cream textured background with generous negative space. The bookmark has realistic paper thickness, soft embossed texture, smooth rounded edges, and a centered punch hole with a short braided tassel whose colors are inspired by {PARIS}. Add soft natural shadows to make it feel like a real handcrafted souvenir. The upper two-thirds of the bookmark showcases a breathtaking layered papercraft diorama of {PARIS}, highlighting its most iconic landmarks, landscapes, architecture, flora, and cultural elements. Build the scene using stacked paper layers with visible cut edges, realistic paper textures, dimensional shadows, and rich handcrafted detail. The scene should immediately evoke the destination while remaining elegant and uncluttered. Use a vibrant destination-inspired color palette while maintaining a premium handcrafted aesthetic. At the top, use large hand-painted brush lettering similar to a modern travel poster. Headline: EXPLORE {PARIS} Below the title, include a short travel-inspired tagline (6–10 words) that captures the spirit of the destination. The lower third transitions into a soft ivory panel with subtle cultural decorative accents inspired by {PARIS}. Section title: YOUR {PARIS} EXPERIENCE Include three premium 3D clay miniature cards with rounded corners and soft shadows representing: Iconic Landmarks Nature & Scenic Beauty Local Cuisine or Culture Each clay miniature should have a handcrafted matte finish with charming proportions and vibrant colors. Add a large rounded call-to-action button reading: START EXPLORING Decorate the bookmark subtly using motifs inspired by {PARIS}, such as geometric borders, traditional patterns, native flowers, leaves, waves, symbols, or architectural details. Keep these accents elegant and minimal. The overall style should feel like a luxury travel keepsake, combining: layered papercraft premium 3D clay miniatures handcrafted paper textures soft natural lighting realistic shadows collectible souvenir aesthetic warm studio photography highly detailed vibrant whimsical yet sophisticated ultra-realistic 8K quality Avoid mobile app UI elements, device frames, navigation icons, hearts, menus, or interface buttons. The final composition should look like a premium handcrafted bookmark photographed on a tabletop, suitable for a luxury travel collection.",https://covers.openpromptlib.com/eiffel-tower-rises-above-layered-papercraft-dioram-giiS5V6p_1.webp,,https://x.com/RizwanAly07/status/2078100756323082520,2026-07-17 00:00:00,文生图,图形文字/版式,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-009,https://openpromptlib.com/prompt/a-basketball-player-leaps-for-a-dunk-in-a-crowded--OA8d8wCE,OpenPromptLib,ChatGPT Image 2,A basketball player leaps for a dunk in a crowded arena,"I have been meaning to do POV videos and thought why not come up with a modular prompt for these types of shots. Here is an attempt:

2x2 grid, 16:9, ai inferred subjects: input = [athlete / sport_or_activity / action_beat / venue / camera_source] run extreme_pov_sports_extraction: sport_dna := infer rules, gear, surface, movement style, and athlete role athlete_dna := infer body type, uniform, equipment, posture, effort, and emotional intensity action_state := infer exact frozen moment: launch, strike, landing, sprint, collision, dodge, slide, swing, flip, or follow-through camera_position := infer ground-level, object-mounted, helmet-mounted, court-edge, underwater, snow-level, wheel-level, or player-facing pov lens_behavior := infer fisheye distortion, wide-angle stretch, close-focus blur, lens flare, dirt, water drops, grass, snow, dust, or scratches foreground_exaggeration := infer closest limb, equipment, wheel, board, glove, racket, hoof, fin, machine part, or object venue_geometry := infer stadium ring, court lines, arena lights, street barriers, ocean horizon, mountain slope, track curve, or gym ceiling surface_physics := infer turf compression, dust spray, court reflection, ice scrape, water splash, sand kickup, snow burst, or pavement grit lighting := infer sun glare, floodlights, backlight, harsh noon, neon, indoor spotlight, or natural overcast motion_physics := infer blur direction, body momentum, particles, shadow stretch, and speed cues render: a dramatic extreme pov action frame where the viewer feels physically inside the sport. forbidden: hard-coded sport, hard-coded cleat, hard-coded stadium, hard-coded grass, hard-coded ball, perfect clean framing, static pose, generic sports poster.",https://covers.openpromptlib.com/a-basketball-player-leaps-for-a-dunk-in-a-crowded--OA8d8wCE_1.webp,,https://x.com/Gdgtify/status/2078096630591709434,2026-07-17 00:00:00,文生图,物体/商品,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-010,https://openpromptlib.com/prompt/tiny-man-hugs-giant-coconut-as-human-hand-places-u-bxtYV61c,OpenPromptLib,ChatGPT Image 2,Tiny man hugs giant coconut as human hand places umbrella,"Ultra-realistic cinematic macro miniature photography, a vertical 2×3 collage (six panels) featuring the same tiny stylized man with a slightly oversized expressive head, finger-sized, enjoying a series of funny beach adventures. Every panel tells a different story while maintaining the same character and highly realistic visual style. Golden beach sand, turquoise ocean, warm summer sunlight, shallow depth of field, creamy bokeh, vibrant colors, dramatic cinematic lighting, ultra-detailed textures, DSLR quality, RAW photo, 8K, photorealistic, humorous expressions, no text, no watermark. Panel 1: The tiny man relaxes on a miniature wooden beach chair, hugging a gigantic coconut drink with a straw while a huge human hand gently places a tiny pink beach umbrella above him. His face shows exaggerated surprise and relief from the heat. Panel 2: The tiny man rides a miniature yellow bodyboard at the shoreline while a giant human hand pinches the back of his red shirt, pulling him away just as a foamy wave reaches him. Water splashes dramatically around him, creating a funny rescue moment. Panel 3: The tiny man sits nervously on the back of an enormous bright orange crab, shading his eyes with one hand while looking toward the horizon as if searching for help. The crab appears calm but gigantic compared to him. Panel 4: Standing on a smooth beach stone, the tiny man struggles to hold an oversized fishing rod that's deeply bent under the weight of a huge freshly caught fish hanging from the line. His body leans backward from the effort with an exaggerated shocked expression. Panel 5: Only the tiny man's head and shoulders stick out from a mound of beach sand while a giant blue plastic shovel, controlled by a huge human hand, pours more sand over him. His straw hat is tilted and his terrified yet comical facial expression creates a playful scene. Panel 6: The tiny man crouches safely inside an enormous open seashell like a natural shelter, reaching one hand outward with a dramatic expression while surrounded by scattered giant seashells on the beach. Soft sunlight illuminates the shell interior, creating a magical cinematic ending. Style: Hyper-realistic macro photography, forced perspective, miniature illusion, ultra-detailed skin textures, realistic sand grains, natural ocean waves, cinematic composition, perfect scale consistency, humorous storytelling, highly expressive face, warm summer color grading, professional advertising photography, vertical composition (4:5), no text, no logos, no watermark.",https://covers.openpromptlib.com/tiny-man-hugs-giant-coconut-as-human-hand-places-u-bxtYV61c_1.webp,,https://x.com/Mud01185127/status/2078095962351050794,2026-07-17 00:00:00,文生图,图形文字/版式,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
